scorer,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina
bodyparts,maxilla_anterior,maxilla_anterior,premaxilla_tip,premaxilla_tip,dentary_tip,dentary_tip,hyoid,hyoid,fin_base,fin_base,operculum,operculum,eye_top,eye_top,eye_right,eye_right,eye_bottom,eye_bottom,eye_left,eye_left
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/2-07-2023_geoF1_winnow1/img005.png,722.5611248519917,366.32367481039887,747.9572242260688,380.71479778904256,739.4918577680432,420.5020201417633,592.194481398396,471.2942188899175,372.9414901355305,412.8831903295402,381.40685659355614,344.313722019532,528.7042329632034,248.65508104384162,578.6498950655549,294.3680599171804,526.1646230257957,340.9275754363217,479.60510750665424,296.9076698545881
labeled-data/2-07-2023_geoF1_winnow1/img014.png,720.8680515603867,358.7048449981757,743.724540997056,373.0959679768194,729.3334180184122,402.72475057990937,632.8282403969195,447.5911928074455,373.78802678133303,412.8831903295402,375.4811000729382,369.7098213936091,526.1646230257957,242.72932452322362,574.417211836542,293.5215232713778,521.0854031509801,336.6948922073089,471.9862776944311,291.8284499797727
labeled-data/2-07-2023_geoF1_winnow1/img023.png,716.6353683313737,357.0117717065706,749.6502975176741,373.0959679768194,731.0264913100177,423.8881667249736,646.3728267297604,464.52192572349696,378.86724665614844,417.9624102043556,367.86227026071504,366.3236748103988,521.0854031509801,230.8778114819877,567.6449186701216,278.2838636469316,516.8527199219673,326.5364524576781,473.67935098603624,280.8234735843393
labeled-data/2-07-2023_geoF1_winnow1/img044.png,,,741.1849310596483,361.2444549355834,725.9472714352021,394.2593841218836,631.1351671053142,439.9723629952224,374.6345634271356,403.5712872257119,374.6345634271356,344.313722019532,521.9319397967827,230.8778114819877,569.3379919617266,269.8184971889059,521.0854031509801,324.8433791660729,472.8328143402337,278.2838636469316
labeled-data/2-07-2023_geoF1_winnow1/img070.png,718.328441622979,348.54640524854483,742.8780043512534,366.32367481039887,731.0264913100175,390.8732375386734,638.7539969175373,439.9723629952224,377.1741733645433,405.2643605173171,374.6345634271356,359.5513816439783,516.8527199219673,235.9570313568031,573.5706751907395,281.6700102301418,527.8576963174005,328.2295257492832,475.3724242776414,275.7442537095239
labeled-data/2-07-2023_geoF1_winnow1/img081.png,721.7145882061891,351.0860151859526,746.2641509344637,370.5563580394117,731.8730279558201,400.1851406425016,629.4420938137091,452.67041268226103,366.1691969691099,391.7197741844759,373.788026781333,338.38796549891407,513.466573338757,235.9570313568031,571.8776018991343,279.9769369385367,526.1646230257954,325.6899158118755,473.67935098603624,281.6700102301418
labeled-data/2-07-2023_geoF1_winnow1/img085.png,721.7145882061891,348.54640524854483,743.724540997056,365.4771381645962,730.1799546642148,391.7197741844759,647.219363375563,439.12582634941987,372.0949534897279,401.0316772883042,383.9464665309639,329.9225990408883,525.318086379993,233.4174214193954,573.5706751907395,279.9769369385367,518.5457932135724,322.3037692286652,477.9120342150491,284.2096201675496
labeled-data/2-07-2023_geoF1_winnow1/img099.png,721.7145882061891,343.4671853737294,743.724540997056,356.165235060768,731.8730279558201,381.5613344348451,635.3678503343272,434.893143120407,372.0949534897279,385.79401766385797,380.5603199477536,329.9225990408883,520.2388665051776,231.72434812779022,575.2637484823447,279.9769369385367,531.2438429006111,324.8433791660729,475.3724242776414,282.5165468759444
